Size Bound,Players,Total Time,Propositions,Solver,Encoding Time,Verification,Learned Formula Size,Solving Time,Original Formula,Sample,Sample size,Learned Formula,Formula Type,Model Type
20,2,5.31,2,msat,5.2,True,2,0.12,<0>F(p),test_suite/large_cgs/CGS/f:02-nm:020-sm:008.sp,40,<0>F(p),atl,cgs
20,2,4.5,2,msat,4.01,True,4,0.49,<>G((p -> <1>G(p))),test_suite/large_cgs/CGS/f:04-nm:005-sm:008.sp,10,"<1>G((<0,1>X(p) -> p))",atl,cgs
20,2,4.14,2,msat,3.97,True,2,0.17,<1>X(p),test_suite/large_cgs/CGS/f:01-nm:010-sm:013.sp,20,<1>X(p),atl,cgs
20,2,39.5,2,msat,23.96,True,6,15.54,<>G(((p & (! q)) -> <1>G(p))),test_suite/large_cgs/CGS/f:03-nm:020-sm:003.sp,40,<>G(((p -> q) | <1>G(p))),atl,cgs
20,2,0.75,2,msat,0.7,True,4,0.06,"<>G((p -> <0,1>F(q)))",test_suite/large_cgs/CGS/f:05-nm:005-sm:003.sp,10,(<1>F(p) -> q),atl,cgs
20,2,0,2,msat,0,,,0,<>G(((p & (! q)) -> <1>G(p))),test_suite/large_cgs/CGS/f:03-nm:030-sm:023.sp,60,,atl,cgs
20,2,99.76,2,msat,95.97,True,3,3.79,"<>G((p -> <0,1>F(q)))",test_suite/large_cgs/CGS/f:05-nm:015-sm:023.sp,30,"<>G(<0,1>F(q))",atl,cgs
20,2,21.11,2,msat,20.66,True,2,0.45,<0>F(p),test_suite/large_cgs/CGS/f:02-nm:025-sm:013.sp,50,<0>F(p),atl,cgs
20,2,0,3,msat,0,,,0,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),test_suite/large_cgs/CGS/f:07-nm:030-sm:008.sp,60,,atl,cgs
20,2,3.41,2,msat,3.3,True,2,0.11,<1>X(p),test_suite/large_cgs/CGS/f:01-nm:015-sm:008.sp,30,<1>X(p),atl,cgs
20,2,415.91,3,msat,236.69,True,6,179.22,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),test_suite/large_cgs/CGS/f:07-nm:025-sm:008.sp,50,"<>X((! <0>X(<0,1>X(<0>F(p)))))",atl,cgs
20,2,73.06,2,msat,70.13,True,4,2.93,<>G((p -> <1>G(p))),test_suite/large_cgs/CGS/f:04-nm:015-sm:013.sp,30,<>G((p -> <1>X(p))),atl,cgs
20,2,30.3,2,msat,29.81,True,2,0.49,<0>F(p),test_suite/large_cgs/CGS/f:02-nm:030-sm:013.sp,60,<0>F(p),atl,cgs
