Learned Formula Size,Sample size,Encoding Time,Solving Time,Formula Type,Learned Formula,Verification,Sample,Solver,Model Type,Size Bound,Original Formula,Total Time,Players,Propositions
2,60,3.0,0.03,atl,<0>F(p),True,test_suite/large_cgs/CGS/f:02-nm:030-sm:003.sp,msat,cgs,15,<0>F(p),3.04,2,2
4,30,8.5,0.15,atl,<>G((p -> <1>X(p))),True,test_suite/large_cgs/CGS/f:04-nm:015-sm:003.sp,msat,cgs,15,<>G((p -> <1>G(p))),8.65,2,2
2,50,2.23,0.03,atl,<0>F(p),True,test_suite/large_cgs/CGS/f:02-nm:025-sm:003.sp,msat,cgs,15,<0>F(p),2.26,2,2
2,30,74.18,0.76,atl,<1>X(p),True,test_suite/large_cgs/CGS/f:01-nm:015-sm:018.sp,msat,cgs,15,<1>X(p),74.94,2,2
,53,0,0,atl,,,test_suite/large_cgs/CGS/f:07-nm:030-sm:018.sp,msat,cgs,15,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),0,2,3
4,20,569.0,23.8,atl,"<>G((p -> <0,1>X(p)))",True,test_suite/large_cgs/CGS/f:04-nm:010-sm:023.sp,msat,cgs,15,<>G((p -> <1>G(p))),592.8,2,2
2,10,3.1,0.09,atl,<1>X(p),True,test_suite/large_cgs/CGS/f:01-nm:005-sm:013.sp,msat,cgs,15,<1>X(p),3.19,2,2
6,40,1367.53,1027.24,atl,<>G((<1>X(<0>F(p)) -> (! p))),True,test_suite/large_cgs/CGS/f:07-nm:020-sm:013.sp,msat,cgs,15,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),2394.77,2,3
4,20,36.5,1.59,atl,<>G((p -> <1>G(p))),True,test_suite/large_cgs/CGS/f:04-nm:010-sm:008.sp,msat,cgs,15,<>G((p -> <1>G(p))),38.09,2,2
5,60,54.04,1.29,atl,<>G((p -> <1>X(q))),True,test_suite/large_cgs/CGS/f:06-nm:030-sm:003.sp,msat,cgs,15,<>G((p -> <1>X(q))),55.33,2,2
,50,0,0,atl,,,test_suite/large_cgs/CGS/f:03-nm:025-sm:018.sp,msat,cgs,15,<>G(((p & (! q)) -> <1>G(p))),0,2,2
,40,0,0,atl,,,test_suite/large_cgs/CGS/f:06-nm:020-sm:023.sp,msat,cgs,15,<>G((p -> <1>X(q))),0,2,2
2,40,14.14,0.14,atl,<0>F(p),True,test_suite/large_cgs/CGS/f:02-nm:020-sm:008.sp,msat,cgs,15,<0>F(p),14.28,2,2
4,10,8.69,0.75,atl,"<1>G((<0,1>X(p) -> p))",True,test_suite/large_cgs/CGS/f:04-nm:005-sm:008.sp,msat,cgs,15,<>G((p -> <1>G(p))),9.44,2,2
2,20,14.2,0.19,atl,<1>X(p),True,test_suite/large_cgs/CGS/f:01-nm:010-sm:013.sp,msat,cgs,15,<1>X(p),14.39,2,2
6,40,40.28,7.57,atl,<>G(((p -> q) | <1>G(p))),True,test_suite/large_cgs/CGS/f:03-nm:020-sm:003.sp,msat,cgs,15,<>G(((p & (! q)) -> <1>G(p))),47.85,2,2
4,10,1.1,0.06,atl,(<1>F(p) -> q),True,test_suite/large_cgs/CGS/f:05-nm:005-sm:003.sp,msat,cgs,15,"<>G((p -> <0,1>F(q)))",1.17,2,2
,60,0,0,atl,,,test_suite/large_cgs/CGS/f:07-nm:030-sm:008.sp,msat,cgs,15,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),0,2,3
6,50,625.63,306.59,atl,"(! <0,1>((<0>(p U <0,1>X(p)) -> <0,1>X(p)) U <0,1>X(p)))",True,test_suite/large_cgs/CGS/f:07-nm:025-sm:008.sp,msat,cgs,15,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),932.22,2,3
4,30,245.57,3.55,atl,<>G((p -> <1>G(p))),True,test_suite/large_cgs/CGS/f:04-nm:015-sm:013.sp,msat,cgs,15,<>G((p -> <1>G(p))),249.13,2,2
2,60,97.71,0.52,atl,<0>F(p),True,test_suite/large_cgs/CGS/f:02-nm:030-sm:013.sp,msat,cgs,15,<0>F(p),98.23,2,2
,50,0,0,atl,,,test_suite/large_cgs/CGS/f:03-nm:025-sm:023.sp,msat,cgs,15,<>G(((p & (! q)) -> <1>G(p))),0,2,2
5,20,5.31,0.24,atl,<>X((<1>X(p) -> q)),True,test_suite/large_cgs/CGS/f:05-nm:010-sm:003.sp,msat,cgs,15,"<>G((p -> <0,1>F(q)))",5.56,2,2
5,40,2149.11,272.54,atl,<>G((p -> <1>X(q))),True,test_suite/large_cgs/CGS/f:06-nm:020-sm:018.sp,msat,cgs,15,<>G((p -> <1>X(q))),2421.65,2,2
4,10,68.86,3.73,atl,"<>G((p -> <0,1>G(p)))",True,test_suite/large_cgs/CGS/f:04-nm:005-sm:018.sp,msat,cgs,15,<>G((p -> <1>G(p))),72.59,2,2
2,40,139.62,0.92,atl,<0>F(p),True,test_suite/large_cgs/CGS/f:02-nm:020-sm:018.sp,msat,cgs,15,<0>F(p),140.53,2,2
2,20,0.58,0.01,atl,<1>X(p),True,test_suite/large_cgs/CGS/f:01-nm:010-sm:003.sp,msat,cgs,15,<1>X(p),0.6,2,2
3,26,414.38,4.47,atl,"(! <0,1>F(p))",True,test_suite/large_cgs/CGS/f:07-nm:025-sm:023.sp,msat,cgs,15,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),418.85,2,3
5,60,1937.59,129.99,atl,<>G((p -> <1>X(q))),True,test_suite/large_cgs/CGS/f:06-nm:030-sm:013.sp,msat,cgs,15,<>G((p -> <1>X(q))),2067.58,2,2
6,50,552.32,122.65,atl,<>G((<1>G(p) | (p -> q))),True,test_suite/large_cgs/CGS/f:03-nm:025-sm:008.sp,msat,cgs,15,<>G(((p & (! q)) -> <1>G(p))),674.98,2,2
6,60,802.6,541.76,atl,<>G((q | (p -> <1>G(p)))),True,test_suite/large_cgs/CGS/f:03-nm:030-sm:008.sp,msat,cgs,15,<>G(((p & (! q)) -> <1>G(p))),1344.36,2,2
5,30,116.82,13.84,atl,"<>G((p -> <0,1>F(q)))",True,test_suite/large_cgs/CGS/f:05-nm:015-sm:008.sp,msat,cgs,15,"<>G((p -> <0,1>F(q)))",130.66,2,2
5,50,1322.93,166.75,atl,<>G((p -> <1>X(q))),True,test_suite/large_cgs/CGS/f:06-nm:025-sm:013.sp,msat,cgs,15,<>G((p -> <1>X(q))),1489.67,2,2
3,31,582.63,5.01,atl,"(! <0,1>F(p))",True,test_suite/large_cgs/CGS/f:07-nm:030-sm:023.sp,msat,cgs,15,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),587.64,2,3
2,30,159.11,1.27,atl,<1>X(p),True,test_suite/large_cgs/CGS/f:01-nm:015-sm:023.sp,msat,cgs,15,<1>X(p),160.38,2,2
5,30,16.41,0.56,atl,<>G((p -> <1>X(q))),True,test_suite/large_cgs/CGS/f:06-nm:015-sm:003.sp,msat,cgs,15,<>G((p -> <1>X(q))),16.98,2,2
,50,0,0,atl,,,test_suite/large_cgs/CGS/f:05-nm:025-sm:018.sp,msat,cgs,15,"<>G((p -> <0,1>F(q)))",0,2,2
