Model Type,Original Formula,Propositions,Encoding Time,Total Time,Learned Formula Size,Sample,Sample size,Solver,Learned Formula,Verification,Solving Time,Size Bound,Formula Type,Players
cgs,<>G(((p & (! q)) -> <1>G(p))),2,0,0,,test_suite/large_cgs/CGS/f:03-nm:030-sm:023.sp,60,msat,,,0,20,atl,2
cgs,"<>G((p -> <0,1>F(q)))",2,531.45,535.85,3,test_suite/large_cgs/CGS/f:05-nm:015-sm:023.sp,30,msat,"<>G(<0,1>F(q))",True,4.4,20,atl,2
cgs,<0>F(p),2,70.38,70.83,2,test_suite/large_cgs/CGS/f:02-nm:025-sm:013.sp,50,msat,<0>F(p),True,0.45,20,atl,2
cgs,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),3,0,0,,test_suite/large_cgs/CGS/f:07-nm:030-sm:008.sp,60,msat,,,0,20,atl,2
cgs,<1>X(p),2,8.85,8.95,2,test_suite/large_cgs/CGS/f:01-nm:015-sm:008.sp,30,msat,<1>X(p),True,0.1,20,atl,2
cgs,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),3,624.65,844.01,6,test_suite/large_cgs/CGS/f:07-nm:025-sm:008.sp,50,msat,"(! <0>((! p) U <0,1>X(<0>((! p) U p))))",True,219.36,20,atl,2
cgs,<>G((p -> <1>G(p))),2,243.93,251.13,4,test_suite/large_cgs/CGS/f:04-nm:015-sm:013.sp,30,msat,<>G((p -> <1>G(p))),True,7.2,20,atl,2
cgs,<0>F(p),2,98.97,99.5,2,test_suite/large_cgs/CGS/f:02-nm:030-sm:013.sp,60,msat,<0>F(p),True,0.52,20,atl,2
cgs,<>G(((p & (! q)) -> <1>G(p))),2,0,0,,test_suite/large_cgs/CGS/f:03-nm:025-sm:023.sp,50,msat,,,0,20,atl,2
cgs,"<>G((p -> <0,1>F(q)))",2,5.22,5.47,5,test_suite/large_cgs/CGS/f:05-nm:010-sm:003.sp,20,msat,<>X((<1>X(p) -> q)),True,0.25,20,atl,2
cgs,<>G((p -> <1>X(q))),2,2156.05,2350.9,5,test_suite/large_cgs/CGS/f:06-nm:020-sm:018.sp,40,msat,<>G((p -> <1>X(q))),True,194.85,20,atl,2
cgs,<>G((p -> <1>G(p))),2,67.32,71.0,4,test_suite/large_cgs/CGS/f:04-nm:005-sm:018.sp,10,msat,"<>G((p -> <0,1>G(p)))",True,3.67,20,atl,2
cgs,<0>F(p),2,137.88,138.79,2,test_suite/large_cgs/CGS/f:02-nm:020-sm:018.sp,40,msat,<0>F(p),True,0.91,20,atl,2
cgs,<1>X(p),2,0.53,0.54,2,test_suite/large_cgs/CGS/f:01-nm:010-sm:003.sp,20,msat,<1>X(p),True,0.01,20,atl,2
cgs,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),3,409.5,413.39,3,test_suite/large_cgs/CGS/f:07-nm:025-sm:023.sp,26,msat,<>G((! p)),True,3.89,20,atl,2
cgs,<>G((p -> <1>X(q))),2,1962.34,2097.98,5,test_suite/large_cgs/CGS/f:06-nm:030-sm:013.sp,60,msat,<>G((p -> <1>X(q))),True,135.64,20,atl,2
cgs,<>G(((p & (! q)) -> <1>G(p))),2,556.68,672.89,6,test_suite/large_cgs/CGS/f:03-nm:025-sm:008.sp,50,msat,<>G((<1>G(p) | (p -> q))),True,116.22,20,atl,2
cgs,<>G(((p & (! q)) -> <1>G(p))),2,800.34,893.84,6,test_suite/large_cgs/CGS/f:03-nm:030-sm:008.sp,60,msat,<>G((<1>G(p) | (p -> q))),True,93.5,20,atl,2
cgs,"<>G((p -> <0,1>F(q)))",2,117.3,131.72,5,test_suite/large_cgs/CGS/f:05-nm:015-sm:008.sp,30,msat,"<>G((p -> <0,1>F(q)))",True,14.42,20,atl,2
cgs,<>G((p -> <1>X(q))),2,1318.43,1476.81,5,test_suite/large_cgs/CGS/f:06-nm:025-sm:013.sp,50,msat,<>G((p -> <1>X(q))),True,158.38,20,atl,2
cgs,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),3,612.94,618.86,3,test_suite/large_cgs/CGS/f:07-nm:030-sm:023.sp,31,msat,"(! <0,1>F(p))",True,5.92,20,atl,2
cgs,<1>X(p),2,158.87,160.13,2,test_suite/large_cgs/CGS/f:01-nm:015-sm:023.sp,30,msat,<1>X(p),True,1.26,20,atl,2
cgs,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),3,4.32,4.38,3,test_suite/large_cgs/CGS/f:07-nm:020-sm:003.sp,40,msat,<>G((! p)),True,0.06,20,atl,2
cgs,<1>X(p),2,0.14,0.15,2,test_suite/large_cgs/CGS/f:01-nm:005-sm:003.sp,10,msat,<1>X(p),True,0.01,20,atl,2
cgs,<>G((p -> <1>G(p))),2,283.65,296.42,4,test_suite/large_cgs/CGS/f:04-nm:010-sm:018.sp,20,msat,<>G((p -> <1>X(p))),True,12.77,20,atl,2
cgs,<>G((p -> <1>X(q))),2,16.49,16.93,5,test_suite/large_cgs/CGS/f:06-nm:015-sm:003.sp,30,msat,<>G((p -> <1>X(q))),True,0.44,20,atl,2
cgs,"<>G((p -> <0,1>F(q)))",2,0,0,,test_suite/large_cgs/CGS/f:05-nm:025-sm:018.sp,50,msat,,,0,20,atl,2
cgs,<>G((p -> <1>X(q))),2,309.55,340.37,5,test_suite/large_cgs/CGS/f:06-nm:005-sm:023.sp,10,msat,"(<0,1>F((! <1>F(q))) & <1>F(q))",True,30.82,20,atl,2
cgs,<0>F(p),2,0.82,0.84,2,test_suite/large_cgs/CGS/f:02-nm:005-sm:008.sp,10,msat,<0>F(p),True,0.02,20,atl,2
cgs,<>G((p -> <1>G(p))),2,139.18,142.15,4,test_suite/large_cgs/CGS/f:04-nm:020-sm:008.sp,40,msat,<>G((p -> <1>G(p))),True,2.97,20,atl,2
cgs,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),3,238.18,301.3,5,test_suite/large_cgs/CGS/f:07-nm:010-sm:013.sp,20,msat,<>G(<0>((! p) U <0>X((! p)))),True,63.12,20,atl,2
cgs,<1>X(p),2,50.79,51.23,2,test_suite/large_cgs/CGS/f:01-nm:020-sm:013.sp,40,msat,<1>X(p),True,0.43,20,atl,2
cgs,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),3,33.73,35.12,4,test_suite/large_cgs/CGS/f:07-nm:005-sm:013.sp,10,msat,<0>G((p -> r)),True,1.39,20,atl,2
cgs,<0>F(p),2,3.07,3.12,2,test_suite/large_cgs/CGS/f:02-nm:010-sm:008.sp,20,msat,<0>F(p),True,0.05,20,atl,2
cgs,<>G((p -> <1>X(q))),2,1120.57,1245.13,5,test_suite/large_cgs/CGS/f:06-nm:010-sm:023.sp,20,msat,<>G((p -> <1>X(q))),True,124.56,20,atl,2
cgs,"<>G((p -> <0,1>F(q)))",2,0,0,,test_suite/large_cgs/CGS/f:05-nm:030-sm:018.sp,60,msat,,,0,20,atl,2
cgs,<>G(((p & (! q)) -> <1>G(p))),2,0,0,,test_suite/large_cgs/CGS/f:03-nm:015-sm:018.sp,30,msat,,,0,20,atl,2
cgs,<>G((p -> <1>G(p))),2,23.59,23.89,4,test_suite/large_cgs/CGS/f:04-nm:025-sm:003.sp,50,msat,<>G((p -> <1>G(p))),True,0.3,20,atl,2
cgs,<1>X(p),2,313.34,314.96,2,test_suite/large_cgs/CGS/f:01-nm:030-sm:018.sp,60,msat,<1>X(p),True,1.62,20,atl,2
