Sample size,Solving Time,Verification,Original Formula,Formula Type,Size Bound,Sample,Solver,Encoding Time,Total Time,Learned Formula Size,Model Type,Learned Formula
40,27.49,True,AG((p)->(AF(q))),ctl,15,test_suite/mod_large_random/Kripke/f:03-nm:020-sm:015.sp,msat,110.42,137.91,5,kripke,AG((p)->(AF(q)))
120,0,,AG((p)->(AF(q))),ctl,15,test_suite/mod_large_random/Kripke/f:03-nm:060-sm:025.sp,msat,0,0,,kripke,
20,10.75,True,AG((p)|(q)),ctl,15,test_suite/mod_large_random/Kripke/f:04-nm:010-sm:025.sp,msat,51.61,62.36,4,kripke,AG((p)|(q))
100,8.46,True,AG((p)|(q)),ctl,15,test_suite/mod_large_random/Kripke/f:04-nm:050-sm:015.sp,msat,392.77,401.23,4,kripke,AG((q)|(p))
40,7.16,True,AG(EF(q)),ctl,15,test_suite/mod_large_random/Kripke/f:02-nm:020-sm:025.sp,msat,98.46,105.62,3,kripke,AG(EF(q))
120,4.15,True,AG(EF(q)),ctl,15,test_suite/mod_large_random/Kripke/f:02-nm:060-sm:015.sp,msat,277.15,281.3,3,kripke,AG(EF(q))
20,21.36,True,AG((!(p))|(!(q))),ctl,15,test_suite/mod_large_random/Kripke/f:05-nm:010-sm:015.sp,msat,33.52,54.88,5,kripke,!(EF((p)&(q)))
100,441.87,True,AG((!(p))|(!(q))),ctl,15,test_suite/mod_large_random/Kripke/f:05-nm:050-sm:025.sp,msat,1798.37,2240.25,5,kripke,AG(!((q)&(p)))
80,5.85,True,AG((!(p))|(!(q))),ctl,15,test_suite/mod_large_random/Kripke/f:05-nm:040-sm:005.sp,msat,64.81,70.67,5,kripke,AG((p)->(!(q)))
60,0.35,True,AG(EF(q)),ctl,15,test_suite/mod_large_random/Kripke/f:02-nm:030-sm:005.sp,msat,12.26,12.61,3,kripke,AG(EF(q))
