Sample size,Solver,Propositions,Players,Size Bound,Encoding Time,Total Time,Verification,Model Type,Sample,Solving Time,Learned Formula,Learned Formula Size,Original Formula,Formula Type
30,msat,2,2,15,52.13,62.42,True,cgs,test_suite/large_cgs/CGS/f:05-nm:015-sm:008.sp,10.28,"<>G((p -> <0,1>F(q)))",5,"<>G((p -> <0,1>F(q)))",atl
50,msat,2,2,15,366.75,474.34,True,cgs,test_suite/large_cgs/CGS/f:06-nm:025-sm:013.sp,107.59,<>G((p -> <1>X(q))),5,<>G((p -> <1>X(q))),atl
31,msat,3,2,15,103.6,106.87,True,cgs,test_suite/large_cgs/CGS/f:07-nm:030-sm:023.sp,3.27,<>G((! p)),3,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),atl
30,msat,2,2,15,27.93,28.92,True,cgs,test_suite/large_cgs/CGS/f:01-nm:015-sm:023.sp,0.99,<1>X(p),2,<1>X(p),atl
30,msat,2,2,15,9.37,10.08,True,cgs,test_suite/large_cgs/CGS/f:06-nm:015-sm:003.sp,0.71,<>G((p -> <1>X(q))),5,<>G((p -> <1>X(q))),atl
50,msat,2,2,15,742.71,1199.01,True,cgs,test_suite/large_cgs/CGS/f:05-nm:025-sm:018.sp,456.3,"<>G((p -> <0,1>F(q)))",5,"<>G((p -> <0,1>F(q)))",atl
10,msat,2,2,15,57.52,102.88,True,cgs,test_suite/large_cgs/CGS/f:06-nm:005-sm:023.sp,45.37,"<>G((p -> <0,1>X(q)))",5,<>G((p -> <1>X(q))),atl
10,msat,2,2,15,0.41,0.43,True,cgs,test_suite/large_cgs/CGS/f:02-nm:005-sm:008.sp,0.02,<0>F(p),2,<0>F(p),atl
40,msat,2,2,15,49.49,52.89,True,cgs,test_suite/large_cgs/CGS/f:04-nm:020-sm:008.sp,3.4,<>G((p -> <1>X(p))),4,<>G((p -> <1>G(p))),atl
20,msat,3,2,15,65.45,117.42,True,cgs,test_suite/large_cgs/CGS/f:07-nm:010-sm:013.sp,51.97,<>G((p -> <0>X(r))),5,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),atl
40,msat,2,2,15,14.03,14.43,True,cgs,test_suite/large_cgs/CGS/f:01-nm:020-sm:013.sp,0.4,<1>X(p),2,<1>X(p),atl
60,msat,2,2,15,1001.81,1527.86,True,cgs,test_suite/large_cgs/CGS/f:05-nm:030-sm:018.sp,526.06,"<>G((p -> <0,1>F(q)))",5,"<>G((p -> <0,1>F(q)))",atl
