Sample,Original Formula,Propositions,Solving Time,Encoding Time,Total Time,Learned Formula Size,Sample size,Solver,Learned Formula,Verification,Size Bound,Formula Type,Players,Positive,Negative,Size Lower,Size Upper,Verification,Total_Time_TB,Encoding_Time_TB,Learned Formula Size_TB,Solving Time_TB,Learned Formula_TB
test_suite/large_cgs/CGS/f:04-nm:025-sm:008.sp,<>G((p -> <1>G(p))),2,1.53,202.42,203.96,4,50,msat,<>G((p -> <1>G(p))),TRUE,20,atl,2,25,25,6,10,TRUE,77.86,73.98,4,3.88,<>G((p -> <1>X(p)))
test_suite/large_cgs/CGS/f:04-nm:030-sm:008.sp,<>G((p -> <1>G(p))),2,2.64,288.95,291.59,4,60,msat,<>G((p -> <1>G(p))),TRUE,20,atl,2,30,30,6,10,TRUE,111.1,105.12,4,5.98,<>G((p -> <1>G(p)))
test_suite/large_cgs/CGS/f:05-nm:005-sm:008.sp,"<>G((p -> <0,1>F(q)))",2,0.54,7.87,8.41,4,10,msat,"<0,1>F(<>G(<0,1>F(q)))",TRUE,20,atl,2,5,5,6,10,TRUE,4.46,3.83,4,0.62,(<1>F(p) -> <1>X(p))
test_suite/large_cgs/CGS/f:05-nm:010-sm:008.sp,"<>G((p -> <0,1>F(q)))",2,8.79,49.99,58.78,5,20,msat,"<>G((p -> <0,1>F(q)))",TRUE,20,atl,2,10,10,6,10,TRUE,39.74,22.91,5,16.83,"<>G((p -> <0,1>F(q)))"
test_suite/large_cgs/CGS/f:05-nm:015-sm:008.sp,"<>G((p -> <0,1>F(q)))",2,14.42,117.3,131.72,5,30,msat,"<>G((p -> <0,1>F(q)))",TRUE,20,atl,2,15,15,6,10,TRUE,61.77,51.93,5,9.84,"<>G((p -> <0,1>F(q)))"
test_suite/large_cgs/CGS/f:05-nm:020-sm:008.sp,"<>G((p -> <0,1>F(q)))",2,18.33,200.64,218.97,5,40,msat,"<>G((p -> <0,1>F(q)))",TRUE,20,atl,2,20,20,6,10,TRUE,103.55,88.02,5,15.53,"<>G((p -> <0,1>F(q)))"
test_suite/large_cgs/CGS/f:05-nm:025-sm:008.sp,"<>G((p -> <0,1>F(q)))",2,36.82,323.12,359.94,5,50,msat,"<>G((p -> <0,1>F(q)))",TRUE,20,atl,2,25,25,6,10,TRUE,215.28,138.5,5,76.78,"<>G((p -> <0,1>F(q)))"
test_suite/large_cgs/CGS/f:05-nm:030-sm:008.sp,"<>G((p -> <0,1>F(q)))",2,37.06,480.48,517.54,5,60,msat,"<>G((p -> <0,1>F(q)))",TRUE,20,atl,2,30,30,6,10,TRUE,268.82,201.91,5,66.92,"<>G((p -> <0,1>F(q)))"
test_suite/large_cgs/CGS/f:06-nm:005-sm:008.sp,<>G((p -> <1>X(q))),2,0.52,6.99,7.51,4,10,msat,<1>X(<0>X(<>X(q))),TRUE,20,atl,2,5,5,6,10,TRUE,3.55,3.15,4,0.39,"<1>X(<0,1>X(<>X(q)))"
test_suite/large_cgs/CGS/f:06-nm:010-sm:008.sp,<>G((p -> <1>X(q))),2,8.18,49.49,57.66,5,20,msat,<>G((p -> <1>X(q))),TRUE,20,atl,2,10,10,6,10,TRUE,32.55,21.35,5,11.2,<>G((p -> <1>X(q)))
test_suite/large_cgs/CGS/f:06-nm:015-sm:008.sp,<>G((p -> <1>X(q))),2,11.1,107.92,119.02,5,30,msat,<>G((p -> <1>X(q))),TRUE,20,atl,2,15,15,6,10,TRUE,70.67,44.38,5,26.29,<>G((p -> <1>X(q)))
test_suite/large_cgs/CGS/f:06-nm:020-sm:008.sp,<>G((p -> <1>X(q))),2,10.22,193.97,204.19,5,40,msat,<>G((p -> <1>X(q))),TRUE,20,atl,2,20,20,6,10,TRUE,101.88,78.36,5,23.52,<>G((p -> <1>X(q)))
test_suite/large_cgs/CGS/f:06-nm:025-sm:008.sp,<>G((p -> <1>X(q))),2,11.77,305.24,317.01,5,50,msat,<>G((p -> <1>X(q))),TRUE,20,atl,2,25,25,6,10,TRUE,131.95,125.08,5,6.87,<>G((p -> <1>X(q)))
test_suite/large_cgs/CGS/f:06-nm:030-sm:008.sp,<>G((p -> <1>X(q))),2,13.29,444.72,458.01,5,60,msat,<>G((p -> <1>X(q))),TRUE,20,atl,2,30,30,6,10,TRUE,248.03,184.03,5,64,<>G((p -> <1>X(q)))
test_suite/large_cgs/CGS/f:01-nm:005-sm:013.sp,<1>X(p),2,0.09,3.1,3.19,2,10,msat,<1>X(p),TRUE,20,atl,2,5,5,11,15,TRUE,1.27,1.19,2,0.08,<1>X(p)
test_suite/large_cgs/CGS/f:01-nm:010-sm:013.sp,<1>X(p),2,0.2,14.09,14.3,2,20,msat,<1>X(p),TRUE,20,atl,2,10,10,11,15,TRUE,4.14,3.97,2,0.17,<1>X(p)
test_suite/large_cgs/CGS/f:01-nm:015-sm:013.sp,<1>X(p),2,0.33,29.48,29.81,2,30,msat,<1>X(p),TRUE,20,atl,2,15,15,11,15,TRUE,8.4,8.18,2,0.23,<1>X(p)
test_suite/large_cgs/CGS/f:01-nm:020-sm:013.sp,<1>X(p),2,0.43,50.79,51.23,2,40,msat,<1>X(p),TRUE,20,atl,2,20,20,11,15,TRUE,14.33,13.94,2,0.39,<1>X(p)
test_suite/large_cgs/CGS/f:01-nm:025-sm:013.sp,<1>X(p),2,0.52,80.15,80.67,2,50,msat,<1>X(p),TRUE,20,atl,2,25,25,11,15,TRUE,22.23,21.74,2,0.49,<1>X(p)
test_suite/large_cgs/CGS/f:01-nm:030-sm:013.sp,<1>X(p),2,0.7,111.99,112.69,2,60,msat,<1>X(p),TRUE,20,atl,2,30,30,11,15,TRUE,30.99,30.46,2,0.53,<1>X(p)
test_suite/large_cgs/CGS/f:02-nm:005-sm:013.sp,<0>F(p),2,0.08,3.04,3.12,2,10,msat,<0>X(p),TRUE,20,atl,2,5,5,11,15,TRUE,1.24,1.16,2,0.08,<0>X(p)
test_suite/large_cgs/CGS/f:02-nm:010-sm:013.sp,<0>F(p),2,0.2,12.03,12.23,2,20,msat,<0>F(p),TRUE,20,atl,2,10,10,11,15,TRUE,3.95,3.78,2,0.17,<0>F(p)
test_suite/large_cgs/CGS/f:02-nm:015-sm:013.sp,<0>F(p),2,0.25,24.75,25,2,30,msat,<0>F(p),TRUE,20,atl,2,15,15,11,15,TRUE,8.21,7.98,2,0.23,<0>F(p)
test_suite/large_cgs/CGS/f:02-nm:020-sm:013.sp,<0>F(p),2,0.39,45.29,45.68,2,40,msat,<0>F(p),TRUE,20,atl,2,20,20,11,15,TRUE,13.72,13.35,2,0.37,<0>F(p)
test_suite/large_cgs/CGS/f:02-nm:025-sm:013.sp,<0>F(p),2,0.45,70.38,70.83,2,50,msat,<0>F(p),TRUE,20,atl,2,25,25,11,15,TRUE,21.11,20.66,2,0.45,<0>F(p)
test_suite/large_cgs/CGS/f:02-nm:030-sm:013.sp,<0>F(p),2,0.52,98.97,99.5,2,60,msat,<0>F(p),TRUE,20,atl,2,30,30,11,15,TRUE,30.3,29.81,2,0.49,<0>F(p)
test_suite/large_cgs/CGS/f:03-nm:005-sm:013.sp,<>G(((p & (! q)) -> <1>G(p))),2,109.06,104.98,214.04,6,10,msat,<>G((p -> (<1>G(p) | q))),TRUE,20,atl,2,5,5,11,15,TRUE,151.12,32.1,6,119.02,<>X((<1>X(<1>G(<0>F(q))) -> q))
test_suite/large_cgs/CGS/f:03-nm:010-sm:013.sp,<>G(((p & (! q)) -> <1>G(p))),2,168.56,373.51,542.07,6,20,msat,<>G((q | (p -> <1>G(p)))),TRUE,20,atl,2,10,10,11,15,TRUE,1123.17,109.76,6,1013.41,<>G((<1>X(p) | (p -> q)))
test_suite/large_cgs/CGS/f:03-nm:015-sm:013.sp,<>G(((p & (! q)) -> <1>G(p))),2,815.49,912.13,1727.61,6,30,msat,<>G((<1>X(p) | (p -> q))),TRUE,20,atl,2,15,15,11,15,TRUE,903.92,245.49,6,658.43,<>G((p -> (<1>X(p) | q)))
test_suite/large_cgs/CGS/f:03-nm:020-sm:013.sp,<>G(((p & (! q)) -> <1>G(p))),2,248.69,1468.1,1716.8,6,40,msat,<>G(((p -> q) | <1>X(p))),TRUE,20,atl,2,20,20,11,15,TRUE,897.69,409.34,6,488.36,<>G(((p -> <1>G(p)) | q))
test_suite/large_cgs/CGS/f:03-nm:025-sm:013.sp,<>G(((p & (! q)) -> <1>G(p))),2,2400,2400,2400,,50,msat,,,20,atl,2,25,25,11,15,TRUE,1497.3,642.09,6,855.22,<>G((q | (p -> <1>G(p))))
test_suite/large_cgs/CGS/f:03-nm:030-sm:013.sp,<>G(((p & (! q)) -> <1>G(p))),2,2400,2400,2400,,60,msat,,,20,atl,2,30,30,11,15,TRUE,2400,2400,,2400,
test_suite/large_cgs/CGS/f:04-nm:005-sm:013.sp,<>G((p -> <1>G(p))),2,2.86,32.99,35.85,4,10,msat,<>G((p -> <1>X(p))),TRUE,20,atl,2,5,5,11,15,TRUE,10.61,8.35,4,2.25,<>G((p -> <1>X(p)))
test_suite/large_cgs/CGS/f:04-nm:010-sm:013.sp,<>G((p -> <1>G(p))),2,3.87,113.33,117.2,4,20,msat,<>G((p -> <1>X(p))),TRUE,20,atl,2,10,10,11,15,TRUE,36.56,31.24,4,5.33,<>G((p -> <1>X(p)))
test_suite/large_cgs/CGS/f:04-nm:015-sm:013.sp,<>G((p -> <1>G(p))),2,7.2,243.93,251.13,4,30,msat,<>G((p -> <1>G(p))),TRUE,20,atl,2,15,15,11,15,TRUE,73.06,70.13,4,2.93,<>G((p -> <1>X(p)))
test_suite/large_cgs/CGS/f:04-nm:020-sm:013.sp,<>G((p -> <1>G(p))),2,11.19,430.66,441.84,4,40,msat,<>G((p -> <1>X(p))),TRUE,20,atl,2,20,20,11,15,TRUE,130.16,124.55,4,5.61,<>G((p -> <1>G(p)))
test_suite/large_cgs/CGS/f:04-nm:025-sm:013.sp,<>G((p -> <1>G(p))),2,8.28,659.25,667.53,4,50,msat,<>G((p -> <1>G(p))),TRUE,20,atl,2,25,25,11,15,TRUE,204.19,188.39,4,15.8,<>G((p -> <1>G(p)))
